label,language
1.8,English
1,English
1,English
1.6,English
1.6,English
1.25,English
1.2,English
1.4,English
3,English
1,English
1.6,English
1.333333333,English
4,English
4.4,English
2.6,English
1,English
3,English
2.6,English
1.4,English
1.8,English
2.5,English
1.25,English
2.6,English
1.2,English
1,English
2.5,English
1.4,English
1,English
1.75,English
1,English
1.25,English
1.5,English
1.2,English
4,English
1,English
2.2,English
2.8,English
1.25,English
2.25,English
1.333333333,English
1.2,English
1.6,English
2,English
1.5,English
1.4,English
1,English
2,English
1.75,English
1.75,English
1,English
2.25,English
1,English
1.2,English
2.4,English
1.25,English
2.2,English
1.8,English
1,English
2,English
1,English
1,English
1.25,English
1,English
2.6,English
1.8,English
2,English
3,English
1.4,English
1.6,English
3.25,English
1,English
1.6,English
3,English
1.6,English
1.6,English
3.2,English
2.333333333,English
1.8,English
1,English
1.75,English
1,English
2.25,English
1,English
1,English
1,English
1.2,English
1.6,English
2.8,English
2,English
3,English
1.2,English
2,English
2,English
2,English
1,English
3,English
5,English
1.25,English
1.25,English
1.6,English
1.4,English
1.4,English
1.8,English
3.2,English
1,English
2.6,English
1,English
1.2,English
1.2,English
2.4,English
2,English
2,English
1.4,English
3.25,English
1.8,English
1.6,English
1,English
1.333333333,English
2.5,English
1.75,English
2,English
1.2,English
1.2,English
1.6,English
2.2,English
2,English
2,English
1.25,English
1.2,English
1.4,English
3,English
2.2,English
2.2,English
1.25,English
2.2,English
1.8,English
2,English
3.25,English
2.5,English
1,English
2,English
2.4,English
1.2,English
1.25,English
1,English
2.2,English
1.8,English
1.333333333,English
3.25,English
1.6,English
3.2,English
1.8,English
2.8,English
1.8,English
1.2,English
2.75,English
1.5,English
1.4,English
1.2,English
1.75,English
3.25,English
1,English
1.4,English
2.2,English
1.6,English
2,English
1,English
1.75,English
3.8,English
1.6,English
1.4,English
2.2,English
1,English
1,English
1.6,English
3.666666667,English
1.8,English
1.6,English
1.75,English
1.5,English
1.5,English
4,English
3,English
1.4,English
1.8,English
1.666666667,English
1.2,English
1.6,English
2,English
1.2,English
1.25,English
2.75,English
1,English
1.8,English
3.6,English
2,English
4,English
2.4,English
3.2,English
1.8,English
1,English
2.2,English
1,English
3.5,English
1.2,English
2.5,English
1.5,English
3.333333333,English
1.8,English
2.4,English
1,English
1.25,English
1.6,English
2.333333333,English
1.6,English
2,English
3.2,English
2.75,English
1.25,English
1.75,English
2.25,English
2.2,English
2.2,English
1.75,English
3.4,English
1.4,English
1,English
1.8,English
1.2,English
2.8,English
2,English
1,English
3.5,English
3.8,English
1,English
2.2,English
1,English
1,English
2,English
1,English
1,English
1,English
1,English
2,English
1.2,English
1.6,English
1,English
2,English
1,English
1.6,English
1,English
1.6,English
3,English
1,English
1,English
3,English
2,English
1,English
2.8,English
1,English
1.6,English
2,English
2,English
2.75,English
1,English
4,English
1,English
2.2,English
2,English
1.6,English
2,English
1.75,English
2.2,English
2.8,English
1.2,English
1.25,English
1,English
1,English
1.5,English
1.75,English
1,English
1.25,English
1.4,English
2.5,English
2.75,English
3,English
1.4,English
2,English
2.2,English
1.4,English
1,English
1,English
1.4,English
1,English
1,English
1.6,English
1.333333333,English
2,English
1.8,English
1,English
1.4,English
1,English
1.75,English
2.6,English
1.5,English
1.666666667,English
2,English
2,English
1.6,English
1.5,English
2.666666667,English
2,English
2.5,English
2.2,English
2.8,English
1.4,English
1.2,English
3.2,English
2,English
1.6,English
2.2,English
1,English
2,English
1.2,English
3,English
1.5,English
2.8,English
1.6,English
1.666666667,English
2,English
1,English
1,English
1.8,English
1.75,English
1,English
1.333333333,English
3.5,English
1.25,English
1.4,English
1.2,English
1.4,English
1,English
1,English
1,English
1,English
1.2,English
2.8,English
1.6,English
2.2,English
1,English
1.5,English
1.75,English
3.75,English
1.6,English
1,English
2.4,English
1,English
1.5,English
2.25,English
1.25,English
1,English
1,English
1.6,English
1.2,English
1.5,English
1.4,English
1.4,English
2.4,English
1.5,English
2.6,English
1,English
1.8,English
2.6,English
2.4,English
